"movie_name","movie_url","movie_opening","movie_weekend","movie_firstweek","movie_total","movie_total_worldwide","movie_genre","movie_movierelease","movie_director","movie_director_url","movie_banner","movie_producer","movie_stars","movie_details"
"Happy Phirr Bhag Jayegi","https://www.bollywoodmdb.com/movies/happy-bhaag-jayegi-returns/16399",": 2.70 cr",": 11.78 cr",": 18.11 cr",": 18.11 cr",": 27.85 cr","Comedy","24 August, 2018 | 2 hrs 17 mins","Mudassar Aziz","https://www.bollywoodmdb.com/celebrities/mudassar-aziz/9650","Banner : Eros International, Colour Yellow Productions Pvt Ltd","Producer : Aanand L Rai , Krishika Lulla","Star : Sonakshi Sinha , Diana Penty, Jimmy Shergill",""
"Gold","https://www.bollywoodmdb.com/movies/gold/16253",": 25.25 cr",": 71.30 cr",": 89.30 cr",": 107.37 cr",": 149.50 cr","","15 August, 2018 | 2 hrs 33 mins","Reema Kagti","https://www.bollywoodmdb.com/celebrities/reema-kagti/4868","Banner : Excel Entertainment","Producer : Ritesh Sidhwani , Farhan Akhtar","Star : Akshay Kumar , Mouni Roy, Kunal Kapoor","Set in 1948, the historic story of India's first Olympic medal post their independence."
"Satyameva Jayate","https://www.bollywoodmdb.com/movies/raakh/16429",": 20.52 cr",": 56.91 cr",": 75.09 cr",": 75.09 cr",": 106.67 cr","Action, Thriller","15 August, 2018 | 2 hrs 21 mins","Milap Zaveri","https://www.bollywoodmdb.com/celebrities/milap-zaveri/10405","Banner : T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd","Producer : Bhushan Kumar , Krishan Kumar, Monisha Advani","Star : John Abraham , Manoj Bajpai, Aisha Sharma","DCP Shivansh has been tasked to catch Vir, the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line, the law."
"Fanney Khan","https://www.bollywoodmdb.com/movies/fanney-khan/16199",": 2.15 cr",": 7.15 cr",": 9.85 cr",": 9.85 cr",": 16.55 cr","Drama","03 August, 2018 | 2 hrs 10 mins","Atul Manjrekar","https://www.bollywoodmdb.com/celebrities/atul-manjrekar/35305","Banner : Rakeysh Omprakash Mehra Pictures, T-Series Super Cassettes Industries Ltd.","Producer : Bhushan Kumar , Rakeysh Omprakash Mehra, Anil Kapoor","Star : Anil Kapoor , Aishwarya Rai, Rajkummar Rao","Fanney Khan is a struggling singer who wants to make his daughter a big name in music world."
"Mulk","https://www.bollywoodmdb.com/movies/mulk/16386",": 1.68 cr",": 8.16 cr",": 12.81 cr",": 17.51 cr",": 26.28 cr","Drama","03 August, 2018 | 2 hrs 20 mins","Anubhav Sinha","https://www.bollywoodmdb.com/celebrities/anubhav-sinha/4215","Banner : Benaras Media Works, Soham Rockstar Entertainment","Producer : Deepak Mukut , Anubhav Sinha","Star : Rishi Kapoor , Taapsee Pannu, Rajat Kapoor","One family member tries to help her own family which are trapped in a dark controversy."
"Karwaan","https://www.bollywoodmdb.com/movies/karwaan/16418",": 1.60 cr",": 8.10 cr",": 12.40 cr",": 16.55 cr",": 22.87 cr","Drama, Comedy","03 August, 2018 | 2 hrs","Akarsh Khurana","https://www.bollywoodmdb.com/celebrities/akarsh-khurana/28480","Banner : RSVP, Ishka Films","Producer : Ronnie Screwvala , Priti Gupta","Star : Irrfan Khan , Dulquer Salmaan, Mithila Palkar","The movie depicts a journey carried out from Bangalore to Kochi by two friends, the reserved Avinash played by Dulquer Salmaan, and his friend Shaukat played by Irrfan Khan with a lighter take on life, who pick up the chirpy teenager Mithila on the way."
"Dhadak","https://www.bollywoodmdb.com/movies/dhadak/16410",": 8.71 cr",": 33.67 cr",": 51.56 cr",": 69.16 cr",": 109.88 cr","Drama, Romance","20 July, 2018 | 2 hrs 18 mins","Shashank Khaitan","https://www.bollywoodmdb.com/celebrities/shashank-khaitan/30999","Banner : Dharma Productions, Zee Studios","Producer : Karan Johar , Zee Studios, Hiroo Johar","Star : Ishaan Khatter , Janhvi Kapoor, Ashutosh Rana","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings."
"Soorma","https://www.bollywoodmdb.com/movies/sandeep-singh-biopic/16415",": 3.20 cr",": 13.85 cr",": 21.21 cr",": 30.11 cr",": 38.14 cr","Biographical, Sports","13 July, 2018 | 2 hrs 11 mins","Shaad Ali","https://www.bollywoodmdb.com/celebrities/shaad-ali/5026","Banner : Sony Pictures Networks Productions, CS Films","Producer : Sony Pictures Networks Productions , Chitrangada Singh, Deepak Singh","Star : Diljit Dosanjh , Taapsee Pannu, Angad Bedi","Soorma is the story of the triumph of the human spirit, about a player, who made headlines for his miraculous comeback after facing a near death experience through sheer determination, hard work and unrelenting passion for the sport."
"Sanju","https://www.bollywoodmdb.com/movies/sanjay-dutt-s-biopic/16346",": 34.75 cr",": 120.06 cr",": 202.51 cr",": 341.22 cr",": 579 cr","Biographical","29 June, 2018 | 2 hrs 42 mins","Rajkumar Hirani","https://www.bollywoodmdb.com/celebrities/rajkumar-hirani/10926","Banner : Vinod Chopra Films, Rajkumar Hirani Films, Fox Star Studios","Producer : Vidhu Vinod Chopra , Rajkumar Hirani","Star : Ranbir Kapoor , Paresh Rawal, Manisha Koirala","A biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence and personal life."
"Race 3","https://www.bollywoodmdb.com/movies/race-3/16378",": 29.17 cr",": 106.47 cr",": 144.51 cr",": 161.04 cr",": 300.04 cr","Action, Thriller","15 June, 2018 | 2 hrs 40 mins","Remo D'Souza","https://www.bollywoodmdb.com/celebrities/remo-d-souza/23614","Banner : Tips Music Films, Salman Khan Films","Producer : Salma Khan , Ramesh S. Taurani","Star : Salman Khan , Jacqueline Fernandez, Anil Kapoor","Revolves around a family that deals in borderline crime; ruthless and vindictive to the core."
